Evaluations,BestObjetivo,MediaDesviacionHijos,MediaInfeasibilityHijos,MediaObjetivoHijos,MediaObjetivo
178,93.62366106646786,45.80548748350176,1763.0,94.31421429668056,94.43615112567913
180,93.62366106646786,45.80866458014384,1808.5,95.65194745194451,94.43615112567913
182,93.62366106646786,45.824011795465395,1745.0,94.27953081432506,94.41450869592583
184,93.62366106646786,45.81694456781613,1763.5,94.61446894013557,94.40729326022861
186,93.62366106646786,45.8057814316875,1749.5,93.94821954023944,94.37399212103304
188,93.62366106646786,45.808227437569464,1751.0,94.05085229407575,94.34546271867795
190,93.62366106646786,45.81715770193455,1754.5,94.37090165237296,94.33071704177793
192,93.62366106646786,45.804693783526545,1756.5,94.1146138345558,94.3063948574896
194,93.62366106646786,45.819217672761134,1738.5,93.97991978397397,94.27798765608804
196,93.62366106646786,45.81284891745635,1750.0,94.13873422005636,94.25646455047823
198,93.62366106646786,45.817798919099616,1741.5,94.02741615601055,94.23195499302855
200,93.62366106646786,45.81114355049079,1742.5,93.88868701198138,94.20235855262348
202,93.62366106646786,45.81632580668939,1741.5,93.99058834575494,94.17713880378845
204,93.62366106646786,45.81048273115958,1749.5,94.0657520270413,94.15522650926306
206,93.62366106646786,45.80990554670207,1758.0,94.28639052073105,94.14310705770075
208,93.62366106646786,45.806903901914474,1748.0,93.93479868912652,94.11905464608265
210,93.62366106646786,45.80932724340305,1752.0,94.10600251110678,94.10275962444828
212,93.62366106646786,45.81284210116656,1755.5,94.29066670436472,94.09515069932613
214,93.62366106646786,45.8104908284958,1751.0,94.10743706723407,94.08321312992577
216,93.62366106646786,45.811155676207555,1763.0,94.45591911432561,94.07743392564863
218,93.62366106646786,45.804805097731304,1755.0,94.07591408288748,94.06583490383814
220,93.62366106646786,45.820119027955535,1743.5,94.14072901979146,94.05756742278403
222,93.62366106646786,45.81510173234909,1739.5,93.90467634486443,94.04010866250836
224,93.62366106646786,45.812321845678845,1742.0,93.90431685608704,94.02369453003097
226,93.62366106646786,45.815248363456284,1742.0,93.97747980052301,94.01095001480581
228,93.62366106646786,45.814727363643726,1739.5,93.89531712723027,93.99532486582615
230,93.62366106646786,45.814730810833595,1747.5,94.11664387650893,93.98722353184847
232,93.62366106646786,45.805857452631344,1744.0,93.79801717228239,93.96931721765804
